run_accession	sample_accession	country	isolation_source	collection_date	fastq_ftp	submitted_ftp	base_count
ERR1485279	SAMEA4057592	Thailand	Stool	1995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/009/ERR1485279/ERR1485279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/009/ERR1485279/ERR1485279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485279/DTU2013_1379_PRJ941_Vibrio_cholerae_VC_6668_3_432_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485279/DTU2013_1379_PRJ941_Vibrio_cholerae_VC_6668_3_432_R2.fastq.gz	479009400
ERR1485334	SAMEA4057620	Thailand	Stool	1995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/004/ERR1485334/ERR1485334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/004/ERR1485334/ERR1485334_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485334/DTU2014_1069_PRJ941_Vibrio_cholerae_IPD_221_8_44B_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485334/DTU2014_1069_PRJ941_Vibrio_cholerae_IPD_221_8_44B_R2.fastq.gz	1010420730
ERR1485281	SAMEA4057593	Thailand	Stool	1995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/001/ERR1485281/ERR1485281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/001/ERR1485281/ERR1485281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485281/DTU2013_1380_PRJ941_Vibrio_cholerae_VC_7307_3_440_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485281/DTU2013_1380_PRJ941_Vibrio_cholerae_VC_7307_3_440_R2.fastq.gz	328117600
ERR1485283	SAMEA4057594	Thailand	Stool	1995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/003/ERR1485283/ERR1485283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/003/ERR1485283/ERR1485283_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485283/DTU2013_1381_PRJ941_Vibrio_cholerae_VC_6225_3_425_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485283/DTU2013_1381_PRJ941_Vibrio_cholerae_VC_6225_3_425_R2.fastq.gz	410786800
ERR1485285	SAMEA4057595	Thailand	Stool	1995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR1485285/ERR1485285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR1485285/ERR1485285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485285/DTU2013_1382_PRJ941_Vibrio_cholerae_VC_5000_3_416_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485285/DTU2013_1382_PRJ941_Vibrio_cholerae_VC_5000_3_416_R2.fastq.gz	346949600
ERR1485287	SAMEA4057596	Thailand	Stool	1995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/007/ERR1485287/ERR1485287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/007/ERR1485287/ERR1485287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485287/DTU2013_1383_PRJ941_Vibrio_cholerae_VC_5457_3_412_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485287/DTU2013_1383_PRJ941_Vibrio_cholerae_VC_5457_3_412_R2.fastq.gz	332885800
ERR1485273	SAMEA4057589	Thailand	Stool	1995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/003/ERR1485273/ERR1485273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/003/ERR1485273/ERR1485273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485273/DTU2013_1376_PRJ941_Vibrio_cholerae_VC_5697_3_430_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR148/ERR1485273/DTU2013_1376_PRJ941_Vibrio_cholerae_VC_5697_3_430_R2.fastq.gz	390574800
SRR25120500	SAMN36289116	Germany	ear	2013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/000/SRR25120500/SRR25120500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/000/SRR25120500/SRR25120500_2.fastq.gz		639107569
SRR25120511	SAMN36289115	Germany	ear	2013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/011/SRR25120511/SRR25120511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/011/SRR25120511/SRR25120511_2.fastq.gz		518322780
SRR25120533	SAMN36289113	Germany	ear	2012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25120533/SRR25120533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25120533/SRR25120533_2.fastq.gz		504884369
